Date,Open,High,Low,Close,AdjClose,Volume
2023-03-27,5950.00 ,5975.00 ,5875.00 ,5875.00 ,5383.64 ,32493100.00 
2023-03-24,5925.00 ,6000.00 ,5900.00 ,5950.00 ,5452.36 ,60721800.00 
2023-03-21,5850.00 ,5975.00 ,5850.00 ,5875.00 ,5383.64 ,40671600.00 
2023-03-20,5850.00 ,5900.00 ,5800.00 ,5875.00 ,5383.64 ,22146000.00 
2023-03-17,5875.00 ,5925.00 ,5850.00 ,5850.00 ,5360.73 ,74811900.00 
2023-03-16,5775.00 ,5875.00 ,5675.00 ,5850.00 ,5360.73 ,33947700.00 
2023-03-15,5850.00 ,5875.00 ,5775.00 ,5775.00 ,5292.00 ,40170800.00 
2023-03-14,5900.00 ,5925.00 ,5750.00 ,5775.00 ,5292.00 ,56988600.00 
2023-03-13,5900.00 ,5975.00 ,5850.00 ,5925.00 ,5429.45 ,28402600.00 
2023-03-10,5975.00 ,6000.00 ,5900.00 ,5975.00 ,5475.27 ,33330500.00 
2023-03-09,5975.00 ,6050.00 ,5950.00 ,6025.00 ,5521.09 ,23104400.00 
2023-03-08,5900.00 ,5975.00 ,5875.00 ,5925.00 ,5429.45 ,40374900.00 
2023-03-07,6050.00 ,6075.00 ,5900.00 ,5950.00 ,5452.36 ,41630000.00 
2023-03-06,6100.00 ,6125.00 ,6050.00 ,6075.00 ,5566.91 ,22141000.00 
2023-03-03,6150.00 ,6150.00 ,6025.00 ,6050.00 ,5544.00 ,32818500.00 
2023-03-02,6150.00 ,6175.00 ,6075.00 ,6150.00 ,5635.64 ,26943600.00 
2023-03-01,6100.00 ,6175.00 ,6050.00 ,6150.00 ,5635.64 ,49851200.00 
2023-02-28,6200.00 ,6275.00 ,6100.00 ,6100.00 ,5589.82 ,154669700.00 
2023-02-27,5725.00 ,5800.00 ,5700.00 ,5800.00 ,5314.91 ,28650400.00 
2023-02-24,5675.00 ,5800.00 ,5650.00 ,5750.00 ,5269.09 ,30869400.00 
2023-02-23,5650.00 ,5700.00 ,5575.00 ,5650.00 ,5177.45 ,33406700.00 
2023-02-22,5550.00 ,5650.00 ,5550.00 ,5625.00 ,5154.55 ,24822300.00 
2023-02-21,5600.00 ,5650.00 ,5550.00 ,5575.00 ,5108.73 ,26985200.00 
2023-02-20,5675.00 ,5700.00 ,5575.00 ,5600.00 ,5131.64 ,29576500.00 
2023-02-17,5700.00 ,5725.00 ,5625.00 ,5675.00 ,5200.36 ,31273200.00 
2023-02-16,5700.00 ,5700.00 ,5625.00 ,5700.00 ,5223.27 ,19014100.00 
2023-02-15,5725.00 ,5725.00 ,5575.00 ,5675.00 ,5200.36 ,38862100.00 
2023-02-14,5750.00 ,5800.00 ,5700.00 ,5725.00 ,5246.18 ,31292000.00 
2023-02-13,5700.00 ,5750.00 ,5675.00 ,5725.00 ,5246.18 ,22154800.00 
2023-02-10,5600.00 ,5700.00 ,5550.00 ,5700.00 ,5223.27 ,71158200.00 
2023-02-09,5825.00 ,5850.00 ,5675.00 ,5675.00 ,5200.36 ,48263600.00 
2023-02-08,5875.00 ,5900.00 ,5775.00 ,5800.00 ,5314.91 ,27235100.00 
2023-02-07,5825.00 ,5925.00 ,5825.00 ,5875.00 ,5383.64 ,29536700.00 
2023-02-06,5875.00 ,5900.00 ,5825.00 ,5850.00 ,5360.73 ,31033700.00 
2023-02-03,5975.00 ,5975.00 ,5875.00 ,5875.00 ,5383.64 ,24629700.00 
2023-02-02,5950.00 ,5975.00 ,5875.00 ,5925.00 ,5429.45 ,30039900.00 
2023-02-01,6000.00 ,6000.00 ,5925.00 ,6000.00 ,5498.18 ,35355300.00 
2023-01-31,5925.00 ,6025.00 ,5900.00 ,6000.00 ,5498.18 ,89064100.00 
2023-01-30,5875.00 ,5900.00 ,5775.00 ,5875.00 ,5383.64 ,34817500.00 
2023-01-27,5925.00 ,5950.00 ,5875.00 ,5875.00 ,5383.64 ,31869800.00 
2023-01-26,5925.00 ,5950.00 ,5850.00 ,5900.00 ,5406.55 ,40168400.00 
2023-01-25,5900.00 ,5950.00 ,5850.00 ,5950.00 ,5452.36 ,18115800.00 
2023-01-24,5900.00 ,5950.00 ,5850.00 ,5925.00 ,5429.45 ,26217800.00 
2023-01-20,5875.00 ,5900.00 ,5775.00 ,5900.00 ,5406.55 ,54173000.00 
2023-01-19,5650.00 ,5875.00 ,5650.00 ,5850.00 ,5360.73 ,95543300.00 
2023-01-18,5550.00 ,5650.00 ,5550.00 ,5650.00 ,5177.45 ,28120700.00 
2023-01-17,5600.00 ,5650.00 ,5500.00 ,5550.00 ,5085.82 ,66999600.00 
2023-01-16,5525.00 ,5600.00 ,5475.00 ,5600.00 ,5131.64 ,48458700.00 
2023-01-13,5375.00 ,5500.00 ,5300.00 ,5450.00 ,4994.18 ,52039800.00 
2023-01-12,5200.00 ,5375.00 ,5200.00 ,5350.00 ,4902.55 ,61374300.00 
2023-01-11,5325.00 ,5350.00 ,5200.00 ,5225.00 ,4788.00 ,45514800.00 
2023-01-10,5375.00 ,5375.00 ,5275.00 ,5325.00 ,4879.64 ,62964600.00 
2023-01-09,5500.00 ,5500.00 ,5275.00 ,5350.00 ,4902.55 ,63437700.00 
2023-01-06,5400.00 ,5525.00 ,5350.00 ,5450.00 ,4994.18 ,59754600.00 
2023-01-05,5650.00 ,5700.00 ,5375.00 ,5375.00 ,4925.45 ,106047000.00 
2023-01-04,5650.00 ,5700.00 ,5625.00 ,5675.00 ,5200.36 ,32578900.00 
2023-01-03,5675.00 ,5700.00 ,5625.00 ,5650.00 ,5177.45 ,22854400.00 
2023-01-02,5725.00 ,5725.00 ,5625.00 ,5700.00 ,5223.27 ,12068800.00 
2022-12-30,5675.00 ,5750.00 ,5650.00 ,5700.00 ,5223.27 ,36384500.00 
2022-12-29,5600.00 ,5675.00 ,5550.00 ,5650.00 ,5177.45 ,32241500.00 
2022-12-28,5725.00 ,5725.00 ,5575.00 ,5625.00 ,5154.55 ,29919100.00 
2022-12-27,5700.00 ,5750.00 ,5650.00 ,5675.00 ,5200.36 ,13680300.00 
2022-12-26,5675.00 ,5725.00 ,5625.00 ,5650.00 ,5177.45 ,13540500.00 
2022-12-23,5750.00 ,5775.00 ,5650.00 ,5675.00 ,5200.36 ,31969000.00 
2022-12-22,5700.00 ,5775.00 ,5675.00 ,5775.00 ,5292.00 ,32103400.00 
2022-12-21,5700.00 ,5725.00 ,5650.00 ,5700.00 ,5223.27 ,34940600.00 
2022-12-20,5675.00 ,5750.00 ,5675.00 ,5700.00 ,5223.27 ,25876100.00 
2022-12-19,5850.00 ,5850.00 ,5650.00 ,5700.00 ,5223.27 ,57531200.00 
2022-12-16,5775.00 ,5800.00 ,5700.00 ,5775.00 ,5292.00 ,95271600.00 
2022-12-15,5825.00 ,5850.00 ,5750.00 ,5800.00 ,5314.91 ,61581800.00 
2022-12-14,5925.00 ,5950.00 ,5775.00 ,5825.00 ,5337.82 ,78775300.00 
2022-12-13,5700.00 ,5900.00 ,5675.00 ,5825.00 ,5337.82 ,113893000.00 
2022-12-12,5675.00 ,5725.00 ,5625.00 ,5675.00 ,5200.36 ,92687900.00 
2022-12-09,5700.00 ,5750.00 ,5650.00 ,5675.00 ,5200.36 ,55355700.00 
2022-12-08,5650.00 ,5800.00 ,5550.00 ,5675.00 ,5200.36 ,161238600.00 
