Date,Open,High,Low,Close,Adj Close,Volume
2023-07-31,"6,750.00","6,950.00","6,725.00","6,850.00","6,850.00","87,828,900"
2023-07-28,"6,500.00","6,625.00","6,475.00","6,625.00","6,625.00","28,288,300"
2023-07-27,"6,600.00","6,600.00","6,500.00","6,525.00","6,525.00","27,816,700"
2023-07-26,"6,575.00","6,625.00","6,500.00","6,600.00","6,600.00","38,599,800"
2023-07-25,"6,600.00","6,625.00","6,500.00","6,500.00","6,500.00","23,958,900"
2023-07-24,"6,400.00","6,600.00","6,400.00","6,550.00","6,550.00","40,830,500"
2023-07-21,"6,500.00","6,525.00","6,375.00","6,450.00","6,450.00","64,037,700"
2023-07-20,"6,575.00","6,575.00","6,450.00","6,525.00","6,525.00","64,069,100"
2023-07-18,"6,675.00","6,700.00","6,475.00","6,575.00","6,575.00","68,904,700"
2023-07-17,"6,750.00","6,775.00","6,675.00","6,675.00","6,675.00","41,698,600"
2023-07-14,"6,775.00","6,825.00","6,700.00","6,750.00","6,750.00","56,060,600"
2023-07-13,"6,775.00","6,825.00","6,750.00","6,800.00","6,800.00","31,298,400"
2023-07-12,"6,775.00","6,825.00","6,750.00","6,775.00","6,775.00","29,210,200"
2023-07-11,"6,775.00","6,800.00","6,750.00","6,800.00","6,800.00","32,949,200"
2023-07-10,"6,825.00","6,825.00","6,775.00","6,775.00","6,775.00","15,301,300"
2023-07-07,"6,775.00","6,825.00","6,750.00","6,825.00","6,825.00","28,755,500"
2023-07-06,"6,775.00","6,800.00","6,750.00","6,800.00","6,800.00","35,473,800"
2023-07-05,"6,775.00","6,775.00","6,700.00","6,775.00","6,775.00","34,751,800"
2023-07-04,"6,825.00","6,825.00","6,700.00","6,775.00","6,775.00","20,047,800"
2023-07-03,"6,775.00","6,825.00","6,750.00","6,825.00","6,825.00","37,348,600"
